270	275	107	44
267	275	99	49
260	274	109	49
277	272	98	49
282	272	97	48
288	276	98	45
297	279	91	43
304	277	88	51
306	272	89	48
304	266	85	39
306	266	83	38
312	268	79	37
310	273	92	44
308	273	117	96
314	272	117	98
310	267	80	42
310	270	115	91
307	268	87	41
309	270	60	36
188	286	50	40
190	286	51	40
315	266	88	61
313	264	85	59
187	277	51	40
186	273	56	42
183	275	59	41
177	272	63	42
177	270	61	42
172	270	62	39
171	267	63	41
139	272	84	26
128	269	86	27
124	263	94	39
392	226	44	41
101	251	105	36
385	212	43	46
103	235	147	45
103	240	68	36
110	231	144	43
115	233	124	40
191	230	73	39
192	234	70	40
133	234	140	41
204	237	72	36
165	239	108	39
411	223	40	39
415	222	40	40
415	224	41	40
182	239	89	41
184	239	87	44
188	240	82	42
430	235	64	87
445	233	55	52
453	232	57	49
435	234	113	99
322	193	46	29
186	99	37	50
452	236	87	97
451	239	53	63
449	240	89	96
7	41	92	106
442	252	113	94
458	256	107	96
478	231	59	47
478	228	55	47
480	225	48	42
471	225	53	42
457	221	54	44
501	279	52	55
421	217	46	40
416	214	43	40
400	204	47	46
389	199	49	44
366	191	55	44
360	191	67	49
351	188	66	49
345	186	60	52
344	186	56	43
337	178	50	40
332	176	50	38
144	243	48	48
139	246	45	43
136	243	41	45
146	248	44	45
365	174	46	41
374	181	88	60
388	185	53	43
389	189	48	41
244	268	49	47
261	263	51	48
277	266	50	48
279	263	57	50
276	265	74	48
282	266	65	50
271	267	75	53
284	265	64	52
269	269	73	48
283	258	76	65
269	225	107	94
242	225	97	94
226	229	106	88
230	246	77	77
207	259	85	68
213	261	72	65
210	247	76	79
190	250	81	77
186	255	75	72
168	262	88	67
187	271	68	56
179	268	76	62
188	239	78	90
183	239	84	87
176	234	99	88
170	246	89	81
183	238	79	89
179	228	88	99
176	230	92	96
178	227	84	91
196	226	60	79
177	222	96	97
181	240	93	77
183	224	94	90
440	156	87	95
239	220	48	72
244	218	45	70
208	216	80	94
203	235	77	78
198	225	81	86
201	213	79	94
204	212	75	96
205	212	69	95
211	214	63	89
503	160	61	74
204	261	77	58
232	224	55	85
237	223	50	47
239	223	48	45
242	223	44	48
232	221	52	94
224	226	63	93
213	223	73	94
199	213	58	44
193	211	55	41
184	213	87	97
178	209	59	39
181	215	91	108
181	215	77	51
212	211	46	41
213	218	47	42
214	225	47	42
218	232	46	42
215	241	47	47
216	254	51	53
232	252	48	55
240	254	45	54
165	253	37	45
170	247	35	45
176	238	36	44
285	188	38	46
297	173	36	49
306	156	34	50
309	150	35	54
310	151	34	48
202	162	52	42
200	159	57	44
194	162	65	45
198	166	61	46
194	165	59	46
192	184	50	42
190	169	59	44
185	151	80	44
210	148	120	57
201	142	123	46
307	157	54	43
243	157	118	40
226	165	139	48
159	330	14	18
213	160	60	46
215	183	79	41
215	177	78	42
217	171	75	39
218	182	87	38
215	181	163	51
307	183	62	42
301	184	66	43
301	184	63	41
294	189	63	39
286	195	63	39
211	201	53	43
202	200	51	40
196	198	55	43
184	202	53	42
176	201	50	42
154	200	48	38
145	199	49	40
240	195	51	42
236	193	53	43
234	190	53	44
234	189	49	39
231	188	51	40
232	186	53	42
151	187	39	34
153	186	38	34
155	185	40	35
154	186	36	32
154	187	36	33
246	184	44	43
241	183	45	42
228	187	46	39
220	193	50	41
221	192	45	41
209	191	49	43
142	177	107	59
123	199	50	41
124	202	51	40
120	206	53	39
117	207	65	41
114	209	51	39
115	210	133	52
190	219	56	42
194	216	63	44
197	217	61	43
210	219	54	42
213	215	56	44
154	160	39	84
153	207	52	43
160	202	60	46
165	195	61	47
172	191	55	44
163	191	73	53
168	178	61	53
250	184	100	142
263	181	70	51
