125	106	22	13
117	103	31	14
115	100	35	16
111	92	38	19
150	104	33	25
150	101	24	18
148	97	21	19
144	92	23	23
133	80	33	33
122	71	31	28
119	66	21	22
112	60	24	26
110	58	23	27
84	49	50	33
1	27	11	12
1	28	16	13
1	29	27	14
46	29	23	11
49	29	30	20
49	28	34	22
66	36	18	12
67	35	17	12
46	21	44	28
50	25	42	27
55	27	36	25
56	27	32	26
31	1	56	52
28	1	53	50
32	1	33	37
37	17	24	21
1	1	12	7
1	1	11	6
1	1	12	6
1	1	14	7
1	1	16	10
1	1	12	7
1	1	11	8
1	1	11	9
1	1	19	24
1	1	50	54
33	38	21	21
36	44	22	23
43	51	25	27
49	62	29	28
57	69	22	22
1	53	22	17
1	56	13	15
72	84	22	19
16	70	51	19
16	74	50	17
88	103	20	16
55	92	58	33
1	104	20	26
1	93	21	42
60	105	38	13
115	129	20	22
124	137	13	19
124	140	14	19
125	145	14	24
35	1	22	21
37	1	22	24
37	1	26	25
35	127	59	22
28	127	56	20
1	122	80	27
1	123	73	27
1	1	13	20
1	120	44	22
1	118	32	18
1	138	31	20
1	116	27	47
406	234	66	31
397	224	40	27
393	222	26	17
389	219	24	21
384	218	26	24
383	220	22	16
382	219	23	16
381	218	22	16
382	217	22	16
188	196	26	13
185	193	21	14
188	192	18	14
258	181	27	14
223	185	76	15
233	184	92	23
245	191	76	22
277	203	49	18
283	208	59	21
311	214	40	17
241	281	29	17
244	280	27	18
249	280	23	14
249	280	27	22
249	284	17	15
249	286	13	11
248	286	17	12
246	286	24	13
226	286	52	19
216	287	44	17
213	295	16	10
211	296	15	10
200	298	21	15
187	294	29	20
186	304	14	7
562	1	12	10
139	305	22	13
83	308	19	14
75	307	41	18
66	306	38	24
61	302	45	30
175	291	28	22
513	34	18	26
516	32	17	25
515	28	17	30
82	249	28	24
85	251	21	12
83	250	23	13
1	264	20	16
42	240	25	14
45	235	23	20
41	234	26	22
13	230	41	13
1	200	40	39
1	201	20	33
1	192	20	37
67	342	22	15
51	340	37	17
44	343	42	16
22	344	42	17
1	354	31	14
1	360	14	12
202	297	13	11
202	298	12	11
202	298	12	12
203	298	15	14
205	300	18	13
209	303	14	10
210	304	13	9
211	304	12	9
210	303	13	11
210	303	14	10
211	303	13	10
210	304	14	10
211	306	13	9
212	306	12	12
212	310	12	13
212	313	15	12
217	320	19	17
221	328	25	24
231	341	16	16
242	358	23	21
254	370	24	20
239	295	40	14
247	297	34	11
253	291	26	15
175	292	17	13
178	289	18	15
164	344	16	18
169	341	12	18
171	323	24	36
176	323	25	26
173	322	37	38
172	327	52	34
205	327	23	34
216	331	24	36
227	339	17	18
230	345	27	38
247	357	14	19
246	353	18	28
247	355	21	25
254	347	23	33
261	338	28	38
268	335	29	39
281	360	21	21
288	368	19	16
290	369	26	19
301	367	26	17
310	355	24	26
199	234	16	12
198	231	16	20
450	562	13	14
359	566	16	10
359	566	19	10
359	568	21	8
361	569	20	7
360	568	21	8
358	567	22	9
470	242	26	19
467	247	19	15
144	338	35	40
302	247	24	21
391	244	16	17
388	250	20	12
382	250	19	12
134	246	23	17
128	245	21	17
127	243	19	16
131	242	14	12
133	239	12	13
133	237	13	14
107	322	16	11
111	321	14	12
114	321	18	13
114	320	20	14
113	317	24	22
112	317	27	22
113	318	24	19
114	320	24	17
111	314	25	32
106	314	31	34
101	323	31	19
231	192	30	13
111	242	20	15
110	242	16	16
110	246	12	14
110	251	12	12
110	253	13	14
87	331	23	23
90	328	32	30
96	330	24	24
100	331	21	18
102	328	29	20
113	328	22	14
120	328	19	13
126	324	21	18
133	320	21	19
141	311	24	22
150	307	22	20
154	305	23	16
160	303	21	15
158	280	26	36
155	265	21	48
